analysis_id,r83e0l95od53v9m
mouse_strain,C57BL
gene_symbol,Tbl1xr1
parameter_name,Eosinophils - % of CD45+
pvalue,0.903417
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
parameter_id,MGP_IMM_125_001
