parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.5440392
gene_accession_id,MGI:2140475
analysis_id,io1ny7308do88o2
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,IMPC_IMM_032_001
mouse_life_stage,Early adult
