parameter_name,CV
analysis_id,67304k338y0a8af
gene_symbol,Fgb
parameter_id,IMPC_ECG_003_001
pvalue,0.295582
gene_accession_id,MGI:99501
mouse_strain,C57BL
mouse_life_stage,Early adult
