gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
pvalue,0.8306217
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,267029nge7z393h
