analysis_id,qek1h9a7403mml3
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_017_001
pvalue,0.4159314
