analysis_id,z5g229389ta7505
pvalue,0.4797817
parameter_id,MGP_IMM_006_001
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
