parameter_name,Head morphology
mouse_strain,C57BL
analysis_id,2k3dt7nnggmdh95
gene_accession_id,MGI:1923959
pvalue,0.2416952
gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_id,MGP_CSD_064_001
