parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:1915325
analysis_id,dc362t9h8x474oz
mouse_life_stage,Early adult
gene_symbol,Lurap1
mouse_strain,C57BL
parameter_name,Right kidney weight
pvalue,0.4688392
