gene_symbol,Kif24
gene_accession_id,MGI:1918345
analysis_id,2mo94377w8k92w3
parameter_id,IMPC_XRY_059_001
parameter_name,Shape of ribcage
mouse_strain,C57BL
pvalue,0.6577751
mouse_life_stage,Early adult
