analysis_id,48r35867ykmv63t
parameter_id,ESLIM_011_001_002
parameter_name,PP1 startle magnitude
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Eprs1
pvalue,0.1079249
