gene_symbol,Nipal3
mouse_strain,129SV
pvalue,0.3646567
parameter_name,Clavicle
gene_accession_id,MGI:1921802
parameter_id,IMPC_XRY_007_001
analysis_id,a99u7y3goz5opu1
mouse_life_stage,Early adult
