analysis_id,39d852rcb33x560
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,TCPLA_XRY_033_001
mouse_strain,129SV
pvalue,0.9771219
gene_symbol,Inpp1
parameter_name,Tibia length
