analysis_id,725nm590e3xp3fn
pvalue,0.4937514
parameter_id,JAX_LDT_003_001
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
parameter_name,Time mobile light side
mouse_life_stage,Early adult
mouse_strain,C57BL
