gene_symbol,Ncaph
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_002_001
pvalue,0.6518607
mouse_strain,C57BL
parameter_name,Click-evoked ABR threshold
gene_accession_id,MGI:2444777
analysis_id,t13iuex13and37a
