analysis_id,9q1mqo54f4au73q
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914050
parameter_name,Limb morphology
gene_symbol,Trp53rkb
pvalue,0.1008221
