pvalue,1.121159e-10
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
analysis_id,guecvq88421280x
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
parameter_name,Calcium
gene_symbol,Hnf4a
