parameter_name,NKT cells (panel A)
gene_symbol,Zc2hc1a
analysis_id,255n1a0a78x4982
mouse_life_stage,Early adult
pvalue,1.440423
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:1914556
mouse_strain,C57BL
