gene_symbol,Bpifa3
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
analysis_id,3d5660q1556fe4s
gene_accession_id,MGI:1920638
pvalue,0.2920717
