parameter_name,Latency to center entry
gene_accession_id,MGI:1345282
pvalue,0.6522573
analysis_id,xysts71bnq7j787
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
