gene_symbol,Kdm5b
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell percentage
pvalue,0.4188533
analysis_id,435pdz2268xx280
parameter_id,MGP_PBI_011_001
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
