mouse_strain,129SV
parameter_name,Periphery resting time
analysis_id,3ozv89g74p6y75a
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.2705263
gene_symbol,Cntfr
parameter_id,IMPC_OFD_011_001
