parameter_id,IMPC_OFD_011_001
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
analysis_id,fzxbk8n0118nqiz
mouse_strain,C57BL
pvalue,0.5150796
mouse_life_stage,Early adult
parameter_name,Periphery resting time
