parameter_name,30kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_012_001
analysis_id,61z18x5ab3h6p6y
gene_accession_id,MGI:3026886
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cdin1
pvalue,0.8714351
