analysis_id,2i87gk309tm5o5b
gene_symbol,Hrnr
parameter_name,Radius
parameter_id,IMPC_XRY_022_001
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
pvalue,0.07156444
mouse_strain,C57BL
