parameter_name,MZB (CD21/35 high)
analysis_id,911g98744ncv3t3
pvalue,0.5726847
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2181659
parameter_id,IMPC_IMM_071_001
gene_symbol,Tox
