gene_symbol,Trp53rkb
mouse_strain,C57BL
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
parameter_name,Periphery - Permanence Time
analysis_id,2ia4pc28xyu2867
pvalue,0.0613714
parameter_id,M-G-P_007_001_008
