gene_symbol,Trim46
mouse_life_stage,Early adult
parameter_id,MGP_IMM_100_001
gene_accession_id,MGI:2673000
analysis_id,zn7c7t236jnqycc
parameter_name,Resting NK cells - % of CD45+
mouse_strain,C57BL
pvalue,0.4078652
