analysis_id,nilt90579p5vb7q
parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_047_001
mouse_strain,C57BL
pvalue,0.8379106
