analysis_id,29b00oo9t74e884
pvalue,0.1600975
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
gene_symbol,Dmap1
parameter_id,MGP_IMM_076_001
mouse_strain,C57BL
parameter_name,Total Treg cells - % of CD45+
