analysis_id,0lei81l2jk1987m
parameter_name,Corneal opacity
pvalue,0.4025327
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:1914944
mouse_strain,C57BL
gene_symbol,Ift74
