gene_symbol,Arpc2
pvalue,0.3976013
mouse_strain,129SV
gene_accession_id,MGI:1923959
parameter_name,Activity (body position)
analysis_id,4t5tm691s1832jc
parameter_id,IMPC_CSD_029_001
mouse_life_stage,Early adult
