analysis_id,68g0t8g93p8sdp8
parameter_id,CCP_XRY_001_001
mouse_life_stage,Early adult
parameter_name,Skull shape
pvalue,0.2127087
gene_symbol,Fgb
mouse_strain,C57BL
gene_accession_id,MGI:99501
