parameter_name,Platelet count
mouse_life_stage,Early adult
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
pvalue,0.2384751
analysis_id,bf44h4o43pzew20
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
