gene_symbol,Zyg11b
mouse_life_stage,E18.5
analysis_id,67128u39ue52s15
parameter_id,UCDLA_EYE_017_001
pvalue,0.764546
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,Lens Opacity
