parameter_id,IMPC_ECG_006_001
analysis_id,2817wn08l10r16v
gene_accession_id,MGI:1917810
parameter_name,PR
pvalue,0.8662477
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Wars2
