analysis_id,6y4s6n85649lbz5
mouse_strain,C57BL
gene_accession_id,MGI:2444114
parameter_id,IMPC_GEL_060_001
gene_symbol,Zcchc2
pvalue,0.5253782
mouse_life_stage,Early adult
parameter_name,Neural tube morphology
