parameter_name,Percentage center time
mouse_life_stage,Late adult
pvalue,0.5791895
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,IMPC_OFD_022_001
analysis_id,up36097w4v61qdu
gene_symbol,Frmpd1
