parameter_name,NK Subsets (Q2)
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
pvalue,0.6270629
parameter_id,IMPC_IMM_055_001
analysis_id,k4hc6i62gi28e6z
