gene_symbol,Lurap1
pvalue,0.1251823
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:1915325
parameter_name,NKT cells (panel A)
mouse_life_stage,Early adult
analysis_id,00029545k783jv6
mouse_strain,C57BL
