gene_symbol,Dnajc8
mouse_strain,C57BL
pvalue,0.7364991
analysis_id,d92uqh9afnkqv6a
gene_accession_id,MGI:1915848
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_004_001
