analysis_id,007ik27763878w4
parameter_name,Caudal processes
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
pvalue,0.06567696
gene_symbol,Ntmt2
