analysis_id,c20655446db6582
gene_accession_id,MGI:1924315
mouse_strain,C57BL
gene_symbol,Ints7
pvalue,0.6701281
mouse_life_stage,E9.5
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_IMM_011_001
