parameter_name,Mean platelet volume
gene_symbol,Inpp1
mouse_strain,129SV
gene_accession_id,MGI:104848
parameter_id,IMPC_HEM_019_001
mouse_life_stage,Early adult
pvalue,0.2390052
analysis_id,817u49hups33l12
