analysis_id,52tw4e92kr60890
pvalue,0.9961457
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
mouse_strain,C57BL
gene_symbol,Eprs1
