analysis_id,8o9x859x1a45375
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_012_001
parameter_name,Coat - hair distribution - head
mouse_strain,C57BL
gene_symbol,Pum1
gene_accession_id,MGI:1931749
pvalue,0.855198
