parameter_id,HRWLLA_GRS_010_001
gene_accession_id,MGI:1339969
pvalue,0.09812286
analysis_id,s6z5fnfg9z9r96c
parameter_name,Forelimb grip strength normalised against body weight
gene_symbol,Gja10
mouse_strain,C57BL
mouse_life_stage,Early adult
