gene_symbol,Psmd14
gene_accession_id,MGI:1913284
analysis_id,781ho7b13pges0e
parameter_name,Periphery resting time
mouse_strain,C57BL
pvalue,0.7466071
parameter_id,ESLIM_007_001_007
mouse_life_stage,Early adult
