gene_symbol,Alkbh3
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
parameter_name,Hemoglobin
pvalue,1.470923
analysis_id,37u4tr1sd1e6733
mouse_strain,C57BL
parameter_id,IMPC_HEM_003_001
