gene_symbol,Ift74
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_024_001
parameter_name,UIBC (unsaturated iron binding capacity)
analysis_id,il1r905nq10k385
pvalue,0.8395584
gene_accession_id,MGI:1914944
