gene_symbol,Rab17
parameter_name,Coat colouration
gene_accession_id,MGI:104640
pvalue,0.146488
analysis_id,0463td17tooq806
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
mouse_strain,C57BL
