analysis_id,3h2n1f2s9qxd13z
gene_symbol,Sfpq
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
parameter_name,Weight
pvalue,0.8800686
parameter_id,M-G-P_005_001_001
mouse_strain,C57BL
