analysis_id,8vds6f63a0y1jz9
parameter_id,IMPC_GEP_017_001
pvalue,0.6884977
mouse_strain,C57BL
gene_symbol,Kifap3
mouse_life_stage,Early adult
parameter_name,Facial Morphology
gene_accession_id,MGI:107566
