analysis_id,y45405c654350wz
parameter_id,IMPC_HEM_039_001
gene_symbol,Morn5
mouse_strain,C57BL
gene_accession_id,MGI:1922745
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.6375206
mouse_life_stage,Early adult
