gene_symbol,Tatdn3
analysis_id,6y6i23zr9662w4w
gene_accession_id,MGI:1916222
pvalue,0.5784264
parameter_name,Total protein
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
