analysis_id,1yb3a70k6114xqz
pvalue,0.1801177
gene_accession_id,MGI:1914071
parameter_id,IMPC_EYE_092_001
gene_symbol,BCS1L
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Retina (combined)
