analysis_id,844100r289utfy3
parameter_id,MGP_PBI_014_001
pvalue,0.7643916
mouse_strain,C57BL
gene_symbol,Etfdh
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
parameter_name,B cell percentage
