gene_symbol,Trim46
mouse_strain,C57BL
analysis_id,30cq7d0ze39xh07
mouse_life_stage,Early adult
pvalue,0.6396063
gene_accession_id,MGI:2673000
parameter_id,IMPC_CSD_051_002
parameter_name,Hindlimb nail - number
