parameter_id,HMGULA_CBC_003_001
pvalue,0.605818
gene_accession_id,MGI:1915472
analysis_id,5nt1y7d8n027552
parameter_name,Chloride
gene_symbol,Tubb4b
mouse_life_stage,Early adult
mouse_strain,C57BL
