analysis_id,0uez6lu23gqfn8t
parameter_id,IMPC_XRY_033_001
pvalue,0.2148628
parameter_name,Tibia length
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
gene_symbol,Pum1
mouse_strain,C57BL
