analysis_id,1hp5kx3uszsh078
mouse_life_stage,Early adult
pvalue,0.9213571
mouse_strain,C57BL
gene_symbol,Trdmt1
parameter_id,M-G-P_006_001_026
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:1274787
