parameter_id,IMPC_DXA_004_001
parameter_name,Bone Mineral Density (excluding skull)
analysis_id,009aer8379uz82b
gene_accession_id,MGI:2685053
mouse_life_stage,Early adult
gene_symbol,Ntmt2
mouse_strain,C57BL
pvalue,0.1823173
