gene_symbol,Kifap3
pvalue,0.3061287
parameter_name,18kHz-evoked ABR Threshold
gene_accession_id,MGI:107566
analysis_id,5444r06ncbd3763
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
