parameter_name,Femur
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_024_001
gene_symbol,Gpbp1l1
analysis_id,782sl7in1520qdb
pvalue,0.2011044
mouse_strain,C57BL
