mouse_strain,C57BL
parameter_name,Fat/Body weight
gene_symbol,Arnt
gene_accession_id,MGI:88071
pvalue,0.16918
analysis_id,7xg0795ijvz8664
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_009_001
